tweet_id;timestamp;source;text;rating_numerator;name;classifier;retweet_count;favorite_count;jpg_url
890971913173991426;2017-07-28 16:27:12;Twitter for iPhone;"Meet Jax. He enjoys ice cream so much he gets nervous around it. 13/10 help Jax enjoy more things by clicking below

https://t.co/Zr4hWfAs1H https://t.co/tVJBRMnhxl";13;Jax;not classified;2028;11661;https://pbs.twimg.com/media/DF1eOmZXUAALUcq.jpg
889531135344209921;2017-07-24 17:02:04;Twitter for iPhone;This is Stuart. He's sporting his favorite fanny pack. Secretly filled with bones only. 13/10 puppared puppo #BarkWeek https://t.co/y70o6h3isq;13;Stuart;puppo;2208;14888;https://pbs.twimg.com/media/DFg_2PVW0AEHN3p.jpg
886736880519319552;2017-07-16 23:58:41;Twitter for iPhone;"This is Mingus. He's a wonderful father to his smol pup. Confirmed 13/10, but he needs your help

https://t.co/bVi0Yr4Cff https://t.co/ISvKOSkd5b";13;Mingus;not classified;3230;11878;https://pbs.twimg.com/media/DE5Se8FXcAAJFx4.jpg
886267009285017600;2017-07-15 16:51:35;Twitter for iPhone;@NonWhiteHat @MayhewMayhem omg hello tanner you are a scary good boy 12/10 would pet with extreme caution;12;nan;not classified;4;116;nan
881633300179243008;2017-07-02 21:58:53;Twitter for iPhone;@roushfenway These are good dogs but 17/10 is an emotional impulse rating. More like 13/10s;15;nan;not classified;7;124;nan
879674319642796034;2017-06-27 12:14:36;Twitter for iPhone;@RealKentMurphy 14/10 confirmed;14;nan;not classified;10;308;nan
878281511006478336;2017-06-23 16:00:04;Twitter for iPhone;"Meet Shadow. In an attempt to reach maximum zooming borkdrive, he tore his ACL. Still 13/10 tho. Help him out below

https://t.co/245xJJElsY https://t.co/lUiQH219v6";13;Shadow;not classified;1270;7646;https://pbs.twimg.com/media/DDBIX9QVYAAohGa.jpg
873213775632977920;2017-06-09 16:22:42;Twitter for iPhone;"This is Sierra. She's one precious pupper. Absolute 12/10. Been in and out of ICU her whole life. Help Sierra below

https://t.co/Xp01EU3qyD https://t.co/V5lkvrGLdQ";12;Sierra;pupper;1578;7151;https://pbs.twimg.com/media/DB5HTBGXUAE0TiK.jpg
872820683541237760;2017-06-08 14:20:41;Twitter for iPhone;"Here are my favorite #dogsatpollingstations 
Most voted for a more consistent walking schedule and to increase daily pats tenfold. All 13/10 https://t.co/17FVMl4VZ5";13;nan;not classified;3675;14567;https://pbs.twimg.com/media/DBzhx0PWAAEhl0E.jpg
870726314365509632;2017-06-02 19:38:25;Twitter for iPhone;"@ComplicitOwl @ShopWeRateDogs &gt;10/10 is reserved for dogs";10;nan;not classified;3;119;nan
870656317836468226;2017-06-02 15:00:16;Twitter for iPhone;"This is Cody. He zoomed too aggressively and tore his ACL. Happens to the best of us. Still 13/10

Help Cody here: https://t.co/4hxnDOt1CV https://t.co/42ryYRQ2Q4";13;Cody;not classified;2646;12338;https://pbs.twimg.com/media/DBUxSSTXsAA-Jn1.jpg
869596645499047938;2017-05-30 16:49:31;Twitter for iPhone;This is Scout. He just graduated. Officially a doggo now. Have fun with taxes and losing sight of your ambitions. 12/10 would throw cap for https://t.co/DsA2hwXAJo;12;Scout;doggo;3139;15913;https://pbs.twimg.com/media/DBFtiYqWAAAsjj1.jpg
868552278524837888;2017-05-27 19:39:34;Twitter for iPhone;"Say hello to Cooper. His expression is the same wet or dry. Absolute 12/10 but Coop desperately requests your help

https://t.co/ZMTE4Mr69f https://t.co/7RyeXTYLNi";12;Cooper;not classified;2107;10116;https://pbs.twimg.com/media/DA23sCeVoAE3uF0.jpg
864279568663928832;2017-05-16 00:41:21;Twitter for iPhone;This is Meatball. He doing what's known in the industry as a mid-strut mlem. H*ckin fancy boy. 12/10 I'd do anything for Meatball https://t.co/S2HdmFFPck;12;Meatball;not classified;3081;14685;https://pbs.twimg.com/media/C_6JrWZVwAAHhCD.jpg
863553081350529029;2017-05-14 00:34:33;Twitter for iPhone;This is Neptune. He's a backpup vocalist for the Dixie Chicks. 13/10 (vid by @AmiWinehouse) https://t.co/tordvmaaop;13;Neptune;not classified;4241;15381;https://pbs.twimg.com/ext_tw_video_thumb/863553036815355904/pu/img/B6Dos-XOD8l82tK7.jpg
863427515083354112;2017-05-13 16:15:35;Twitter for iPhone;@Jack_Septic_Eye I'd need a few more pics to polish a full analysis, but based on the good boy content above I'm leaning towards 12/10;12;nan;not classified;99;2280;nan
863079547188785154;2017-05-12 17:12:53;Twitter for iPhone;Ladies and gentlemen... I found Pipsy. He may have changed his name to Pablo, but he never changed his love for the sea. Pupgraded to 14/10 https://t.co/lVU5GyNFen;14;nan;not classified;1119;8824;https://pbs.twimg.com/media/C_pGRInUwAAmTY_.jpg
863062471531167744;2017-05-12 16:05:02;Twitter for iPhone;"Say hello to Quinn. She's quite the goofball. Not even a year old. Confirmed 13/10 but she really needs your help 

https://t.co/MOBkQnyHib https://t.co/EsOB4rLEKt";13;Quinn;not classified;2493;8579;https://pbs.twimg.com/media/C_o2vKCUwAAgtOp.jpg
860563773140209665;2017-05-05 18:36:06;Twitter for iPhone;"Meet Lorenzo. He's an avid nifty hat wearer and absolute 13/10, but he needs your help to beat cancer. Link below

https://t.co/qZdSdzm08p https://t.co/oDIQ1KkdPt";13;Lorenzo;not classified;2204;7581;https://pbs.twimg.com/media/C_FWL0vVwAA13N7.jpg
859851578198683649;2017-05-03 19:26:06;Twitter for iPhone;Meet Trooper. He picks pup recyclables that have blown out of bins in the neighborhood and puts them back. 13/10 environmentally savvy af https://t.co/BqSttrTuIl;13;Trooper;not classified;3592;15575;https://pbs.twimg.com/media/C-7OcfyXsAAsqzU.jpg
